doc_id,has_novelty,has_inventiveness,n_claims_novelty,n_claims_inventiveness,has_structured,raw_bases
kr_1019970082313,0,1,0,1,1,§2×1
kr_1019980061060,0,1,0,1,1,§2×1
kr_1020040038467,0,0,0,0,0,
kr_1020040054512,0,0,0,0,0,
kr_1020040056909,0,1,0,1,1,§2×1
kr_1020040110593,0,0,0,0,0,
kr_1020040114205,0,0,0,0,0,
kr_1020040118271,0,0,0,0,0,
kr_1020050108101,0,0,0,0,0,
kr_1020060027807,0,0,0,0,0,
kr_1020060038703,0,0,0,0,0,
kr_1020060077995,0,0,0,0,0,
kr_1020060085753,0,0,0,0,0,
kr_1020060085877,0,0,0,0,0,
kr_1020060096447,0,0,0,0,0,
kr_1020060096478,0,0,0,0,0,
kr_1020060106778,0,0,0,0,0,
kr_1020060118458,0,1,0,2,1,§2×2
kr_1020060120920,0,1,0,2,1,§2×2
kr_1020060121430,0,0,0,0,1,
kr_1020060132016,0,0,0,0,0,
kr_1020060136836,0,0,0,0,0,
kr_1020070017918,0,0,0,0,0,
kr_1020070027189,0,0,0,0,0,
kr_1020070045015,0,0,0,0,0,
kr_1020070045018,0,0,0,0,0,
kr_1020070052593,0,0,0,0,0,
kr_1020070060529,0,0,0,0,0,
kr_1020070060573,0,0,0,0,0,
kr_1020070061231,0,0,0,0,0,
kr_1020070062550,0,0,0,0,1,
kr_1020070064330,0,1,0,2,1,§2×2
kr_1020070065442,0,0,0,0,0,
kr_1020070066622,0,0,0,0,0,
kr_1020070070962,0,0,0,0,0,
kr_1020070073856,0,0,0,0,0,
kr_1020070074789,0,0,0,0,0,
kr_1020070077510,0,0,0,0,1,
kr_1020070077633,0,0,0,0,0,
kr_1020070077652,0,0,0,0,0,
kr_1020070079001,0,0,0,0,0,
kr_1020070081633,0,0,0,0,0,
kr_1020070083414,0,0,0,0,0,
kr_1020070097272,0,0,0,0,0,
kr_1020070101416,0,0,0,0,0,
kr_1020070107981,0,0,0,0,0,
kr_1020070109117,0,0,0,0,0,
kr_1020070110667,0,0,0,0,0,
kr_1020070110733,0,0,0,0,0,
kr_1020070110833,0,0,0,0,0,
kr_1020070111157,0,0,0,0,0,
kr_1020070112958,0,0,0,0,0,
kr_1020070119658,0,0,0,0,0,
kr_1020070119813,0,0,0,0,0,
kr_1020070120745,0,0,0,0,0,
kr_1020070120889,0,0,0,0,0,
kr_1020070122636,0,0,0,0,0,
kr_1020070126747,0,0,0,0,0,
kr_1020070132134,0,0,0,0,0,
kr_1020070134305,0,0,0,0,0,
kr_1020070135864,0,0,0,0,0,
kr_1020070135871,0,0,0,0,0,
kr_1020070136090,0,1,0,2,1,§2×2
kr_1020070137551,0,0,0,0,0,
kr_1020070138573,0,0,0,0,0,
kr_1020070138818,1,1,2,2,1,§1×2|§2×2
kr_1020070139169,0,0,0,0,0,
kr_1020077006288,0,0,0,0,0,
kr_1020077023871,0,0,0,0,0,
kr_1020077024878,0,0,0,0,0,
kr_1020077026968,0,0,0,0,0,
kr_1020077028622,0,0,0,0,0,
kr_1020080003152,0,0,0,0,0,
kr_1020080003879,0,0,0,0,0,
kr_1020080003975,0,0,0,0,0,
kr_1020080011204,0,0,0,0,0,
kr_1020080017256,0,0,0,0,0,
kr_1020080017301,0,0,0,0,0,
kr_1020080017693,0,0,0,0,0,
kr_1020080020588,0,0,0,0,0,
kr_1020080020589,0,0,0,0,0,
kr_1020080020701,0,0,0,0,0,
kr_1020080021592,0,0,0,0,0,
kr_1020080023547,0,0,0,0,0,
kr_1020080023972,0,0,0,0,0,
kr_1020080024348,0,0,0,0,0,
kr_1020080024617,0,0,0,0,0,
kr_1020080025439,0,0,0,0,0,
kr_1020080027789,0,0,0,0,0,
kr_1020080028235,0,0,0,0,0,
kr_1020080028321,0,0,0,0,0,
kr_1020080028866,0,0,0,0,0,
kr_1020080029590,0,0,0,0,1,
kr_1020080030254,0,0,0,0,0,
kr_1020080031159,0,0,0,0,0,
kr_1020080031804,0,0,0,0,0,
kr_1020080033916,0,0,0,0,0,
kr_1020080038366,0,0,0,0,0,
kr_1020080040909,0,0,0,0,0,
kr_1020080040940,0,0,0,0,1,
kr_1020080048613,0,0,0,0,0,
kr_1020080049690,0,0,0,0,1,
kr_1020080050188,0,0,0,0,0,
kr_1020080050862,0,0,0,0,0,
kr_1020080052888,0,0,0,0,0,
kr_1020080055333,0,0,0,0,0,
kr_1020080057021,0,0,0,0,0,
kr_1020080062219,0,0,0,0,0,
kr_1020080064782,0,0,0,0,0,
kr_1020080066151,0,0,0,0,0,
kr_1020080066912,0,0,0,0,0,
kr_1020080071369,0,0,0,0,0,
kr_1020080072806,0,0,0,0,0,
kr_1020080075740,0,0,0,0,1,
kr_1020080075746,0,0,0,0,0,
kr_1020080075923,0,0,0,0,0,
kr_1020080076052,0,0,0,0,0,
kr_1020080077769,0,0,0,0,0,
kr_1020080078101,0,0,0,0,0,
kr_1020080078406,0,0,0,0,0,
kr_1020080084451,0,0,0,0,0,
kr_1020080091526,0,0,0,0,0,
kr_1020080091979,0,0,0,0,0,
kr_1020080091984,0,0,0,0,0,
kr_1020080092696,0,0,0,0,0,
kr_1020080093453,0,0,0,0,0,
kr_1020080102436,0,0,0,0,0,
kr_1020080109237,0,0,0,0,0,
kr_1020080109284,0,0,0,0,0,
kr_1020080109754,0,0,0,0,0,
kr_1020080109757,0,0,0,0,0,
kr_1020080110954,0,0,0,0,0,
kr_1020080111255,0,0,0,0,0,
kr_1020080111270,0,0,0,0,1,
kr_1020080112007,0,0,0,0,0,
kr_1020080126999,0,0,0,0,0,
kr_1020080129942,0,0,0,0,0,
kr_1020080133109,0,0,0,0,0,
kr_1020080133137,0,0,0,0,0,
kr_1020080134269,0,0,0,0,0,
kr_1020080134531,0,0,0,0,0,
kr_1020080134761,0,0,0,0,0,
kr_1020080137964,0,0,0,0,0,
kr_1020080138567,0,0,0,0,0,
kr_1020087002152,0,0,0,0,0,
kr_1020087009666,0,0,0,0,0,
kr_1020087010493,0,0,0,0,0,
kr_1020087013367,0,0,0,0,0,
kr_1020087029146,0,0,0,0,0,
kr_1020090000944,0,0,0,0,0,
kr_1020090005062,0,0,0,0,0,
kr_1020090005381,0,0,0,0,0,
kr_1020090005638,0,0,0,0,0,
kr_1020090005817,0,0,0,0,0,
kr_1020090008804,0,0,0,0,0,
kr_1020090012467,0,0,0,0,0,
kr_1020090015710,0,0,0,0,1,
kr_1020090025243,0,0,0,0,0,
kr_1020090026860,0,1,0,2,1,§2×2
kr_1020090027352,0,0,0,0,0,
kr_1020090028219,0,0,0,0,0,
kr_1020090030003,0,0,0,0,0,
kr_1020090030006,0,0,0,0,0,
kr_1020090031897,0,0,0,0,0,
kr_1020090035063,1,1,1,1,1,§1×1|§2×1
kr_1020090041213,0,0,0,0,0,
kr_1020090041249,0,0,0,0,0,
