doc_id,clause,ground,notice_round,notice_type,notice_date,reason_id
kr_1020040038467,29-2-,Rejection_Inventiveness,1,의견제출통지서,2010-10-26,kr_1020040038467__29-2-__r1
kr_1020040038467,29-2-,Rejection_Inventiveness,2,거절결정서,2011-01-28,kr_1020040038467__29-2-__r2
kr_1020040054512,29-2-,Rejection_Inventiveness,1,의견제출통지서,2010-09-28,kr_1020040054512__29-2-__r1
kr_1020040114205,29-2-,Rejection_Inventiveness,1,의견제출통지서,2010-09-29,kr_1020040114205__29-2-__r1
kr_1020040114205,42-3-,Rejection_Disclosure,1,의견제출통지서,2010-09-29,kr_1020040114205__42-3-__r1
kr_1020040114205,42-4-2,Rejection_ClaimRequirements,1,의견제출통지서,2010-09-29,kr_1020040114205__42-4-2__r1
kr_1020050108101,29-2-,Rejection_Inventiveness,1,의견제출통지서,2007-07-24,kr_1020050108101__29-2-__r1
kr_1020060027807,29-2-,Rejection_Inventiveness,1,의견제출통지서,2007-12-12,kr_1020060027807__29-2-__r1
kr_1020060027807,29-2-,Rejection_Inventiveness,2,거절결정서,2008-06-13,kr_1020060027807__29-2-__r2
kr_1020060038703,29-1-2,Rejection_Novelty,1,의견제출통지서,2011-10-10,kr_1020060038703__29-1-2__r1
kr_1020060038703,29-2-,Rejection_Inventiveness,1,의견제출통지서,2011-10-10,kr_1020060038703__29-2-__r1
kr_1020060038703,42-4-2,Rejection_ClaimRequirements,1,의견제출통지서,2011-10-10,kr_1020060038703__42-4-2__r1
kr_1020060077995,29-2-,Rejection_Inventiveness,1,의견제출통지서,2009-04-29,kr_1020060077995__29-2-__r1
kr_1020060077995,29-2-,Rejection_Inventiveness,2,거절결정서,2009-07-22,kr_1020060077995__29-2-__r2
kr_1020060077995,42-4-2,Rejection_ClaimRequirements,1,의견제출통지서,2009-04-29,kr_1020060077995__42-4-2__r1
kr_1020060085753,29-2-,Rejection_Inventiveness,1,의견제출통지서,2009-04-27,kr_1020060085753__29-2-__r1
kr_1020060085753,42-4-2,Rejection_ClaimRequirements,1,의견제출통지서,2009-04-27,kr_1020060085753__42-4-2__r1
kr_1020060085877,29-2-,Rejection_Inventiveness,1,의견제출통지서,2008-01-18,kr_1020060085877__29-2-__r1
kr_1020060085877,29-2-,Rejection_Inventiveness,3,의견제출통지서,2009-01-30,kr_1020060085877__29-2-__r3
kr_1020060096447,29-2-,Rejection_Inventiveness,1,의견제출통지서,2008-11-21,kr_1020060096447__29-2-__r1
kr_1020060096447,42-3-,Rejection_Disclosure,1,의견제출통지서,2008-11-21,kr_1020060096447__42-3-__r1
kr_1020060096447,42-4-2,Rejection_ClaimRequirements,1,의견제출통지서,2008-11-21,kr_1020060096447__42-4-2__r1
kr_1020060096478,29-2-,Rejection_Inventiveness,1,의견제출통지서,2010-04-09,kr_1020060096478__29-2-__r1
kr_1020060106778,29-2-,Rejection_Inventiveness,1,의견제출통지서,2008-10-22,kr_1020060106778__29-2-__r1
kr_1020060118458,29-2-,Rejection_Inventiveness,1,의견제출통지서,2007-10-24,kr_1020060118458__29-2-__r1
kr_1020060118458,29-2-,Rejection_Inventiveness,2,의견제출통지서,2008-03-12,kr_1020060118458__29-2-__r2
kr_1020060118458,42-3-,Rejection_Disclosure,1,의견제출통지서,2007-10-24,kr_1020060118458__42-3-__r1
kr_1020060120920,29-2-,Rejection_Inventiveness,1,의견제출통지서,2009-05-01,kr_1020060120920__29-2-__r1
kr_1020060120920,29-2-,Rejection_Inventiveness,2,거절결정서,2009-11-11,kr_1020060120920__29-2-__r2
kr_1020060121430,29-2-,Rejection_Inventiveness,1,의견제출통지서,2008-09-12,kr_1020060121430__29-2-__r1
kr_1020060132016,29-2-,Rejection_Inventiveness,1,의견제출통지서,2009-01-21,kr_1020060132016__29-2-__r1
kr_1020060132016,29-2-,Rejection_Inventiveness,2,거절결정서,2009-05-19,kr_1020060132016__29-2-__r2
kr_1020060132016,42-3-,Rejection_Disclosure,1,의견제출통지서,2009-01-21,kr_1020060132016__42-3-__r1
kr_1020060132016,42-3-,Rejection_Disclosure,2,거절결정서,2009-05-19,kr_1020060132016__42-3-__r2
kr_1020060132016,42-4-2,Rejection_ClaimRequirements,1,의견제출통지서,2009-01-21,kr_1020060132016__42-4-2__r1
kr_1020060132016,42-4-2,Rejection_ClaimRequirements,2,거절결정서,2009-05-19,kr_1020060132016__42-4-2__r2
kr_1020060136836,29-2-,Rejection_Inventiveness,1,의견제출통지서,2013-02-19,kr_1020060136836__29-2-__r1
kr_1020060136836,42-4-2,Rejection_ClaimRequirements,1,의견제출통지서,2013-02-19,kr_1020060136836__42-4-2__r1
kr_1020070017918,29-2-,Rejection_Inventiveness,2,의견제출통지서,2010-05-31,kr_1020070017918__29-2-__r2
kr_1020070017918,42-4-2,Rejection_ClaimRequirements,1,의견제출통지서,2009-11-27,kr_1020070017918__42-4-2__r1
kr_1020070027189,29-2-,Rejection_Inventiveness,1,의견제출통지서,2008-02-26,kr_1020070027189__29-2-__r1
kr_1020070027189,29-2-,Rejection_Inventiveness,2,거절결정서,2008-08-21,kr_1020070027189__29-2-__r2
